sku,asin,fnsku,name,category,product_category,sub_category,moq,lead_time_days,cogs,units_per_box,dimensions,weight_kg,cbm,is_active,amazon_active,noon_active,country,saddl_id
006870-BF01,B0CZC5L634,X001ZWRE8L,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Taupe - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF03,B0CZC4CT2N,X001ZWYR27,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Marron - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF05,B0CZC5TNFP,X001ZWYR3V,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Candy Floss - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF06,B0CZBXYYJQ,X001ZWRE9Z,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Cobalt - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF07,B0CZBVY7SY,X001ZX02XJ,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Coffee - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF08,B0CZCB3RW2,X001ZWRFRB,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Dim Grey - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF11,B0CZBY19VJ,X001ZX02WZ,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Persian - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF12,B0CZC4FVP6,X001ZWRFQR,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Plum - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF14,B0CZBYJL79,X001ZX02X9,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Teal Green - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006870-BF15,B0CZC6FF77,X001ZWRFR1,"Raymond Home Single Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Light Pink - (40 * 60 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF01,B0CZC128KR,X001ZX02WP,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Taupe - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
